date,product,category,branch,units_sold,unit_price
2026-06-14,Cold Coffee,Beverages,DHA Campus,8,116.65
2026-06-09,Notebook A4,Stationery,Model Town Campus,6,152.97
2026-06-02,Notebook A4,Stationery,Model Town Campus,8,142.61
2026-06-15,Chicken Patty,Snacks,Model Town Campus,1,59.94
2026-06-15,Notebook A4,Stationery,DHA Campus,1,152.92
2026-06-20,Gel Pen Pack,Stationery,DHA Campus,9,83.47
2026-06-01,Potato Chips,Snacks,Gulberg Campus,10,50.91
2026-06-13,Mineral Water 500ml,Beverages,DHA Campus,1,47.9
2026-06-28,Mineral Water 500ml,Beverages,DHA Campus,9,45.64
2026-06-24,Earphones Basic,Electronics,Gulberg Campus,1,358.72
2026-06-02,Mineral Water 500ml,Beverages,Model Town Campus,5,45.02
2026-06-02,Samosa,Snacks,Gulberg Campus,8,38.18
2026-06-27,Chicken Patty,Snacks,Gulberg Campus,4,61.87
2026-06-23,Samosa,Snacks,DHA Campus,10,39.78
2026-06-02,Notebook A4,Stationery,Gulberg Campus,6,146.55
2026-06-22, Notebook A4,Stationery,Gulberg Campus,3,
2026-06-09,Samosa,Snacks,DHA Campus,4,38.69
2026-06-28,Notebook A4,Stationery,Model Town Campus,9,147.7
2026-06-13,Notebook A4,Stationery,DHA Campus,7,150.97
2026-06-24,Gel Pen Pack,Stationery,DHA Campus,4,77.3
2026-06-08,Mineral Water 500ml,Beverages,Model Town Campus,6,44.85
2026-06-14,Highlighter Set,Stationery,DHA Campus,8,226.74
2026-06-05,Energy Drink,Beverages,DHA Campus,11,158.42
2026-06-04,USB Flash Drive 32GB,Electronics,Model Town Campus,7,961.1
2026-06-24,Highlighter Set,Stationery,DHA Campus,5,235.38
2026-06-24,USB Flash Drive 32GB,Electronics,Model Town Campus,3,941.16
2026-06-09,Gel Pen Pack,Stationery,DHA Campus,3,80.84
2026-06-20,Notebook A4,Stationery,Gulberg Campus,5,146.15
2026-06-24,USB Flash Drive 32GB,Electronics,DHA Campus,11,907.75
2026-06-12,USB Flash Drive 32GB,Electronics,Model Town Campus,7,946.41
2026-06-10,cold coffee ,Beverages,DHA Campus,9,124.74
2026-06-19,Cold Coffee,Beverages,DHA Campus,9,127.89
2026-06-03,Potato Chips,Snacks,Gulberg Campus,3,52.51
2026-06-22,Energy Drink,Beverages,Gulberg Campus,8,146.97
2026-06-10,Cold Coffee,Beverages,Model Town Campus,10,121.82
2026-06-13,USB Flash Drive 32GB,Electronics,Model Town Campus,4,899.02
2026-06-14,USB Flash Drive 32GB,Electronics,DHA Campus,10,856.42
2026-06-13,Mineral Water 500ml,Beverages,DHA Campus,1,47.9
2026-06-23,Gel Pen Pack,Stationery,Gulberg Campus,4,80.75
2026-06-04,Chicken Patty,Snacks,DHA Campus,5,58.94
2026-06-12,Notebook A4,Stationery,Model Town Campus,10,151.11
2026-06-04,Mineral Water 500ml,Beverages,Gulberg Campus,1,43.45
2026-06-20,USB Flash Drive 32GB,Electronics,Model Town Campus,1,926.44
2026-06-13,Samosa,Snacks,Gulberg Campus,2,38.42
2026-06-05,Samosa,Snacks,Model Town Campus,1,38.78
2026-06-15,Energy Drink,Beverages,Model Town Campus,2,143.22
2026-06-03,USB Flash Drive 32GB,Electronics,DHA Campus,3,858.68
2026-06-17,Chicken Patty,Snacks,Model Town Campus,4,59.7
2026-06-15,Cold  Coffee,Beverages,Gulberg Campus,2,115.29
2026-06-11,Chicken Patty,Snacks,Model Town Campus,3,63.4
2026-06-04,Cold Coffee,Beverages,DHA Campus,1,117.56
2026-06-25,Potato Chips,Snacks,Gulberg Campus,9,48.47
2026-06-10,Potato Chips,Snacks,Gulberg Campus,5,50.09
2026-06-24,Gel Pen Pack,Stationery,DHA Campus,11,77.59
2026-06-12,Samosa,Snacks,DHA Campus,6,39.55
2026-06-07,Samosa,Snacks,DHA Campus,8,41.38
2026-06-17,Samosa,Snacks,DHA Campus,1,40.56
2026-06-30,Cold Coffee,Beverages,Model Town Campus,6,129.3
2026-06-17,USB Flash Drive 32GB,Electronics,DHA Campus,4,908.74
2026-06-24,Energy Drink,Beverages,Gulberg Campus,6,152.62
2026-06-26,Energy Drink,Beverages,Gulberg Campus,8,158.23
2026-06-27,Cold Coffee,Beverages,Gulberg Campus,8,124.9
2026-06-22,Mineral Water 500ml,Beverages,Model Town Campus,10,48.06
2026-06-07,Highlighter Set,Stationery,DHA Campus,4,
2026-06-07,Potato Chips,Snacks,DHA Campus,5,48.66
2026-06-16,GEL PEN PACK,Stationery,DHA Campus,10,
2026-06-27,Energy Drink,Beverages,Model Town Campus,1,
2026-06-16,Cold Coffee,Beverages,Model Town Campus,1,125.81
2026-06-08,Earphones Basic,Electronics,Gulberg Campus,2,357.83
2026-06-08,Energy Drink,Beverages,Gulberg Campus,1,145.16
2026-06-08,Cold Coffee,Beverages,DHA Campus,3,118.0
2026-06-29,Gel Pen Pack,Stationery,Model Town Campus,11,86.01
2026-06-24,USB Flash Drive 32GB,Electronics,Gulberg Campus,8,931.21
2026-06-09,Energy Drink,Beverages,DHA Campus,5,151.42
2026-06-22,Highlighter Set,Stationery,DHA Campus,3,226.85
2026-06-26,Energy Drink,Beverages,Model Town Campus,7,155.6
2026-06-25,Earphones Basic,Electronics,Model Town Campus,4,
2026-06-09,Energy Drink,Beverages,Model Town Campus,4,158.07
2026-06-27,Highlighter Set,Stationery,Gulberg Campus,3,225.67
2026-06-19,Cold Coffee,Beverages,Model Town Campus,2,115.36
2026-06-28,Notebook A4,Stationery,DHA Campus,6,158.68
2026-06-02,Energy Drink,Beverages,DHA Campus,9,161.24
2026-06-17,USB Flash Drive 32GB,Electronics,Model Town Campus,11,933.1
2026-06-14,Potato Chips,Snacks,DHA Campus,10,48.99
2026-06-01,Earphones Basic,Electronics,Model Town Campus,10,336.94
2026-06-06,Highlighter Set,Stationery,Gulberg Campus,3,219.65
2026-06-24,USB Flash Drive 32GB,Electronics,DHA Campus,11,907.75
2026-06-01,Earphones Basic,Electronics,Gulberg Campus,4,
2026-06-21,Potato Chips,Snacks,Gulberg Campus,11,50.58
2026-06-16,GEL PEN PACK,Stationery,DHA Campus,2,82.62
2026-06-29,USB Flash Drive 32GB,Electronics,DHA Campus,3,864.1
2026-06-11,Cold Coffee,Beverages,DHA Campus,3,129.45
2026-06-26,Highlighter Set,Stationery,Gulberg Campus,8,211.98
2026-06-27,gel pen pack,Stationery,DHA Campus,6,82.71
2026-06-01,Gel Pen Pack,Stationery,Model Town Campus,5,77.62
2026-06-30,Energy Drink,Beverages,Model Town Campus,5,151.73
2026-06-04,Energy Drink,Beverages,DHA Campus,7,148.15
2026-06-27,Energy Drink,Beverages,Model Town Campus,1,151.95
2026-06-20,Samosa,Snacks,DHA Campus,8,42.66
2026-06-01,gel pen pack,Stationery,Gulberg Campus,11,
2026-06-13,Chicken Patty,Snacks,Gulberg Campus,1,57.65
2026-06-17,Highlighter Set,Stationery,Gulberg Campus,11,225.58
2026-06-05,Energy Drink,Beverages,Gulberg Campus,9,150.37
2026-06-10,USB Flash Drive 32GB,Electronics,Gulberg Campus,10,928.23
2026-06-29,Potato Chips,Snacks,DHA Campus,10,47.7
2026-06-28,GEL PEN PACK,Stationery,Gulberg Campus,11,77.92
2026-06-17,Potato Chips,Snacks,Model Town Campus,11,47.99
2026-06-05,Energy Drink,Beverages,Model Town Campus,6,143.14
2026-06-18,Highlighter Set,Stationery,Model Town Campus,6,211.34
2026-06-02,Mineral Water 500ml,Beverages,DHA Campus,4,43.83
2026-06-20,Highlighter Set,Stationery,Gulberg Campus,1,224.15
2026-06-12,Energy Drink,Beverages,Gulberg Campus,5,147.15
2026-06-20,Notebook A4,Stationery,Model Town Campus,11,153.65
2026-06-26,Earphones Basic,Electronics,DHA Campus,3,335.49
2026-06-04,Earphones Basic,Electronics,DHA Campus,11,341.74
2026-06-25,Cold Coffee,Beverages,DHA Campus,11,114.51
2026-06-06,Chicken Patty,Snacks,Gulberg Campus,3,63.68
2026-06-22,Energy Drink,Beverages,Gulberg Campus,9,155.82
2026-06-08,USB Flash Drive 32GB,Electronics,Model Town Campus,10,949.7
2026-06-12,Samosa,Snacks,Model Town Campus,5,41.91
2026-06-01,Earphones Basic,Electronics,Model Town Campus,4,359.45
2026-06-10,USB Flash Drive 32GB,Electronics,DHA Campus,1,906.76
2026-06-13,Mineral Water 500ml,Beverages,Model Town Campus,5,44.11
2026-06-06,Notebook A4,Stationery,DHA Campus,9,155.44
2026-06-09,Chicken Patty,Snacks,Model Town Campus,3,61.97
2026-06-27,Chicken Patty,Snacks,Model Town Campus,9,
2026-06-27,Cold Coffee,Beverages,DHA Campus,5,119.33
2026-06-04,Samosa,Snacks,Gulberg Campus,6,42.58
2026-06-27,USB Flash Drive 32GB,Electronics,DHA Campus,1,956.61
2026-06-05,Gel Pen Pack,Stationery,Model Town Campus,1,83.57
2026-06-09,Cold Coffee,Beverages,DHA Campus,4,120.42
2026-06-06,Energy Drink,Beverages,Model Town Campus,2,158.84
2026-06-20,Energy Drink,Beverages,Gulberg Campus,4,159.09
2026-06-09,Potato Chips,Snacks,Model Town Campus,3,52.67
2026-06-15,Highlighter Set,Stationery,DHA Campus,5,225.74
2026-06-03,Highlighter Set,Stationery,DHA Campus,5,
2026-06-19,Earphones Basic,Electronics,DHA Campus,5,349.02
2026-06-25,Potato Chips,Snacks,DHA Campus,11,48.42
2026-06-17,Chicken Patty,Snacks,DHA Campus,2,61.84
2026-06-10,USB Flash Drive 32GB,Electronics,Model Town Campus,1,
2026-06-13,Chicken Patty,Snacks,Model Town Campus,9,61.62
2026-06-05,Cold Coffee,Beverages,DHA Campus,1,129.24
2026-06-29,Cold Coffee,Beverages,Gulberg Campus,5,121.55
2026-06-02,Earphones Basic,Electronics,DHA Campus,2,350.48
2026-06-27,Notebook A4,Stationery,Gulberg Campus,6,157.59
2026-06-27,USB Flash Drive 32GB,Electronics,Model Town Campus,3,924.06
2026-06-15,USB Flash Drive 32GB,Electronics,Model Town Campus,5,971.61
2026-06-21,Gel Pen Pack,Stationery,Model Town Campus,8,84.61
2026-06-16,Earphones Basic,Electronics,Model Town Campus,2,348.8
2026-06-05,Cold Coffee,Beverages,Model Town Campus,7,124.49
2026-06-04,Earphones Basic,Electronics,Gulberg Campus,4,373.11
2026-06-30,Energy Drink,Beverages,DHA Campus,2,152.69
2026-06-08,Earphones Basic,Electronics,Gulberg Campus,5,341.19
2026-06-06,Energy Drink,Beverages,Gulberg Campus,1,145.65
2026-06-10,USB Flash Drive 32GB,Electronics,Model Town Campus,4,927.05
2026-06-20,Energy Drink,Beverages,Gulberg Campus,4,159.09
2026-06-03,Energy Drink,Beverages,Gulberg Campus,7,159.08
2026-06-24,USB Flash Drive 32GB,Electronics,Model Town Campus,10,948.93
2026-06-07,GEL PEN PACK,Stationery,DHA Campus,1,
2026-06-24,Cold Coffee,Beverages,Gulberg Campus,6,119.4
2026-06-12,Mineral Water 500ml,Beverages,DHA Campus,9,44.14
2026-06-06,Potato Chips,Snacks,Gulberg Campus,4,53.61
2026-06-07,Earphones Basic,Electronics,Gulberg Campus,7,343.9
2026-06-29,Earphones Basic,Electronics,Gulberg Campus,7,356.22
2026-06-27,Earphones Basic,Electronics,DHA Campus,5,333.71
2026-06-10,Energy Drink,Beverages,Model Town Campus,1,161.12
2026-06-18,GEL PEN PACK,Stationery,DHA Campus,9,81.0
2026-06-30,Notebook A4,Stationery,Gulberg Campus,5,156.75
2026-06-29,Highlighter Set,Stationery,Model Town Campus,1,236.18
2026-06-06,Samosa,Snacks,Model Town Campus,4,40.75
2026-06-05,Highlighter Set,Stationery,Gulberg Campus,1,227.14
2026-06-18,Potato Chips,Snacks,Gulberg Campus,10,48.65
2026-06-18,Cold Coffee,Beverages,DHA Campus,1,115.32
2026-06-14,USB Flash Drive 32GB,Electronics,Model Town Campus,1,936.4
2026-06-21,Mineral Water 500ml,Beverages,Model Town Campus,3,
2026-06-12,Energy Drink,Beverages,Model Town Campus,9,153.3
2026-06-14,Notebook A4,Stationery,Model Town Campus,11,156.11
2026-06-20,Notebook A4,Stationery,Gulberg Campus,2,153.73
2026-06-14,Samosa,Snacks,Model Town Campus,2,38.86
2026-06-28,Earphones Basic,Electronics,DHA Campus,5,369.58
2026-06-13,Earphones Basic,Electronics,Model Town Campus,9,366.36
2026-06-10,Mineral Water 500ml,Beverages,DHA Campus,5,43.22
2026-06-13,Earphones Basic,Electronics,Gulberg Campus,8,335.81
2026-06-20,Energy Drink,Beverages,DHA Campus,3,158.85
2026-06-08,Chicken Patty,Snacks,Model Town Campus,6,62.43
2026-06-14,Cold  Coffee,Beverages,DHA Campus,7,114.71
2026-06-28,Mineral Water 500ml,Beverages,Gulberg Campus,10,45.22
2026-06-19,Highlighter Set,Stationery,DHA Campus,10,231.57
2026-06-11,Earphones Basic,Electronics,DHA Campus,5,366.65
2026-06-11,Samosa,Snacks,Gulberg Campus,1,40.38
2026-06-20,Mineral Water 500ml,Beverages,Model Town Campus,6,46.91
2026-06-01,Potato Chips,Snacks,Model Town Campus,3,53.09
2026-06-09,Energy Drink,Beverages,DHA Campus,6,143.51
2026-06-22,Mineral Water 500ml,Beverages,Gulberg Campus,6,47.15
2026-06-21,Gel Pen Pack,Stationery,Model Town Campus,10,81.71
2026-06-26,Gel Pen Pack,Stationery,Gulberg Campus,4,85.82
2026-06-02,Energy Drink,Beverages,DHA Campus,9,157.56
2026-06-27,Cold Coffee,Beverages,Model Town Campus,2,127.93
2026-06-11,Cold Coffee,Beverages,Model Town Campus,2,118.07
2026-06-16,Potato Chips,Snacks,DHA Campus,5,52.42
2026-06-23,Mineral Water 500ml,Beverages,Model Town Campus,10,
2026-06-04,Energy Drink,Beverages,Gulberg Campus,6,
2026-06-20,Cold Coffee,Beverages,DHA Campus,8,125.28
2026-06-06,Earphones Basic,Electronics,Model Town Campus,2,377.83
2026-06-17,Chicken Patty,Snacks,Gulberg Campus,11,58.08
2026-06-01,Gel Pen Pack,Stationery,Gulberg Campus,7,77.77
2026-06-05,Samosa,Snacks,DHA Campus,11,38.97
2026-06-05, Notebook A4,Stationery,Model Town Campus,2,154.85
2026-06-23,Mineral Water 500ml,Beverages,Gulberg Campus,11,44.77
2026-06-11,Potato Chips,Snacks,Model Town Campus,10,51.93
2026-06-06,Highlighter Set,Stationery,DHA Campus,10,237.09
2026-06-13,USB Flash Drive 32GB,Electronics,DHA Campus,2,959.35
2026-06-29,Earphones Basic,Electronics,DHA Campus,4,334.84
2026-06-13,Samosa,Snacks,Model Town Campus,3,42.04
2026-06-09,Cold  Coffee,Beverages,DHA Campus,6,117.9
2026-06-07,USB Flash Drive 32GB,Electronics,Gulberg Campus,9,966.51
2026-06-20,Potato Chips,Snacks,DHA Campus,6,51.28
2026-06-21,Energy Drink,Beverages,DHA Campus,3,145.7
2026-06-01,Cold Coffee,Beverages,Model Town Campus,9,129.06
2026-06-24,Energy Drink,Beverages,Gulberg Campus,9,159.34
2026-06-25,Earphones Basic,Electronics,Model Town Campus,1,334.16
2026-06-18,Chicken Patty,Snacks,Gulberg Campus,1,59.16
2026-06-14,Mineral Water 500ml,Beverages,Model Town Campus,5,48.45
2026-06-24,USB Flash Drive 32GB,Electronics,Model Town Campus,8,953.33
2026-06-28,Energy Drink,Beverages,DHA Campus,7,144.58
2026-06-16,Earphones Basic,Electronics,DHA Campus,6,360.59
2026-06-21,Samosa,Snacks,DHA Campus,8,42.21
2026-06-25,Potato Chips,Snacks,Gulberg Campus,8,53.34
2026-06-14,Cold Coffee,Beverages,Gulberg Campus,10,128.83
2026-06-02,Gel Pen Pack,Stationery,Gulberg Campus,8,79.71
2026-06-10,Cold Coffee,Beverages,Gulberg Campus,10,119.55
2026-06-10,cold coffee ,Beverages,Gulberg Campus,4,116.74
2026-06-11,Earphones Basic,Electronics,DHA Campus,7,337.88
2026-06-05,USB Flash Drive 32GB,Electronics,Model Town Campus,10,914.91
2026-06-30,Energy Drink,Beverages,Model Town Campus,8,146.99
2026-06-22,Chicken Patty,Snacks,Model Town Campus,3,62.19
2026-06-07,Samosa,Snacks,Gulberg Campus,1,40.82
2026-06-24,Notebook A4,Stationery,DHA Campus,5,154.27
2026-06-05,Mineral Water 500ml,Beverages,DHA Campus,8,42.97
2026-06-19,Earphones Basic,Electronics,DHA Campus,7,355.78
2026-06-04,Samosa,Snacks,Gulberg Campus,9,38.55
2026-06-13,Chicken Patty,Snacks,Model Town Campus,10,62.78
2026-06-07,Chicken Patty,Snacks,Gulberg Campus,6,64.64
2026-06-23,Highlighter Set,Stationery,DHA Campus,6,224.34
2026-06-23,Earphones Basic,Electronics,DHA Campus,4,
2026-06-30,Potato Chips,Snacks,Model Town Campus,7,
2026-06-19,Mineral Water 500ml,Beverages,Gulberg Campus,2,47.12
2026-06-25,Highlighter Set,Stationery,DHA Campus,6,233.61
2026-06-29,Notebook A4,Stationery,Gulberg Campus,8,153.54
2026-06-20,Energy Drink,Beverages,Gulberg Campus,6,161.51
2026-06-04,Potato Chips,Snacks,DHA Campus,9,52.82
2026-06-02,Samosa,Snacks,Model Town Campus,8,41.93
2026-06-24,Gel Pen Pack,Stationery,Model Town Campus,9,78.66
2026-06-26,Mineral Water 500ml,Beverages,Gulberg Campus,7,48.28
2026-06-25,Potato Chips,Snacks,Gulberg Campus,9,48.47
2026-06-07,Chicken Patty,Snacks,DHA Campus,3,63.96
2026-06-28,Cold Coffee,Beverages,Model Town Campus,10,128.26
2026-06-18,USB Flash Drive 32GB,Electronics,DHA Campus,5,919.2
2026-06-30,Energy Drink,Beverages,DHA Campus,2,157.03
2026-06-10,cold coffee ,Beverages,Gulberg Campus,7,
2026-06-22,Earphones Basic,Electronics,Model Town Campus,8,352.48
2026-06-29,USB Flash Drive 32GB,Electronics,Gulberg Campus,2,927.93
2026-06-08,Energy Drink,Beverages,Model Town Campus,1,143.97
2026-06-12,Cold Coffee,Beverages,Model Town Campus,9,127.22
2026-06-02,Chicken Patty,Snacks,Model Town Campus,1,59.02
2026-06-12,Cold Coffee,Beverages,DHA Campus,4,122.95
2026-06-26, Notebook A4,Stationery,DHA Campus,6,146.5
2026-06-05,Potato Chips,Snacks,Gulberg Campus,11,
2026-06-25,Mineral Water 500ml,Beverages,DHA Campus,8,46.13
2026-06-04,Notebook A4,Stationery,DHA Campus,6,152.46
2026-06-02,Gel Pen Pack,Stationery,DHA Campus,1,76.16
2026-06-16,Energy Drink,Beverages,DHA Campus,3,147.32
2026-06-09,Cold Coffee,Beverages,Model Town Campus,5,122.15
2026-06-19,Samosa,Snacks,DHA Campus,8,41.05
2026-06-01,Gel Pen Pack,Stationery,DHA Campus,9,79.03
2026-06-08,USB Flash Drive 32GB,Electronics,Model Town Campus,10,941.67
2026-06-26,Cold Coffee,Beverages,Gulberg Campus,8,114.42
2026-06-07,Mineral Water 500ml,Beverages,Model Town Campus,11,45.29
2026-06-28,Earphones Basic,Electronics,Gulberg Campus,6,338.73
2026-06-16,Cold  Coffee,Beverages,Gulberg Campus,8,114.35
2026-06-01,Highlighter Set,Stationery,Gulberg Campus,5,226.66
2026-06-29,Energy Drink,Beverages,Model Town Campus,2,150.23
2026-06-10,Mineral Water 500ml,Beverages,Model Town Campus,8,48.22
2026-06-12,Notebook A4,Stationery,Model Town Campus,10,161.5
2026-06-11,Samosa,Snacks,Gulberg Campus,4,40.17
2026-06-07,Energy Drink,Beverages,DHA Campus,5,152.3
2026-06-08,Earphones Basic,Electronics,Model Town Campus,11,345.94
2026-06-13,USB Flash Drive 32GB,Electronics,Gulberg Campus,8,898.79
2026-06-01,USB Flash Drive 32GB,Electronics,DHA Campus,2,939.47
2026-06-07,Earphones Basic,Electronics,Gulberg Campus,7,343.9
2026-06-16,Samosa,Snacks,Model Town Campus,3,39.43
2026-06-16,Cold Coffee,Beverages,Model Town Campus,11,117.32
2026-06-13,Samosa,Snacks,DHA Campus,3,41.03
2026-06-27,Highlighter Set,Stationery,DHA Campus,6,231.3
2026-06-24,Gel Pen Pack,Stationery,Model Town Campus,2,
2026-06-01,Notebook A4,Stationery,Gulberg Campus,6,142.52
2026-06-09,Samosa,Snacks,Model Town Campus,6,41.07
2026-06-02,USB Flash Drive 32GB,Electronics,Model Town Campus,2,945.69
